organization,switch,switch_serial,port_id,port_name,enabled,,,switch,Inactive Enabled Count,Platoon,,Platoon,Count To Disable,Proposed Date,,Platoon,switch
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,21,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,24,Data,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,27,Voice and Data,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,29,Voice and Data,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,30,Baxter pumps setup,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,33,Voice and Data,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,34,Voice and Data,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,35,Shoretel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,38,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,39,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,40,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,41,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,42,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,43,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,44,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,45,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,49,,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,50,,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,51,,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 2,Q2QW-5M8E-LSDF,52,,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,2,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,3,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,4,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,5,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,6,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,7,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,12,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,13,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,14,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,16,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,17,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,18,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,21,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,23,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,25,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,27,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,31,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,32,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,33,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,36,Voice and Data,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,37,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,38,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,39,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,40,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,41,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,42,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,43,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,44,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,45,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,46,Shortel Test,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,48,,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,49,,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,50,,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,51,,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 3,Q2QW-3CLZ-8BRX,52,,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,3,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,4,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,5,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,7,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,9,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,10,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,11,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,12,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,13,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,14,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,15,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,16,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,17,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,18,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,19,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,20,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,21,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,22,ShoreTel,True,,,,,,,,,,,,
